so,source_file,customer,customer_street_address,customer_city,customer_state,customer_zip,order_date,ship_to_name,ship_to_address,ship_to_city,ship_to_state,ship_to_zip,fuel_brand,store_brand,store_id,site_id,site_address,site_city,site_state,state,site_zip,service_requested,service_date,technician,new_install/90_days,system,equipment_replacement,reason_for_order,equipment_category,impact_to_site,interface,firmware,last_service_date,min_temp_F,max_temp_F,avg_temp_F,precipitation_inches,humidity_precentag,snowfall_inches,windspeed_mph,sunshine_hours
32685,"SO#32685 Citgo #34666135 - Clearwater, FL - FMD18SEP3-GSR-GSG-MP_PVSPSR63-UDT-1.xlsx",SignResource,242 Industrial Pkwy,Jacksvoro,TN,37757,11/5/2024,SignResource,242 Industrial Pkwy,Jacksvoro,TN,37757,Citgo,,,34666135,1285 Cleveland St.,Clearwater,FL,Florida,33755,TRUE,2/14/2025,Dixie Signs,0,SMD2,Same,Part Failure,Display,Panel Out,,,2/14/2025,52,72,62,1.5,52.5,0,9.8,4.9
32686,SO#32686 DEMO - PRICEVISION- FMD8SEN2A-GSG_FMD12SEP3-GSW-MP_FMT4P-C9W_PVSPSR21-UT-1.xlsx,,,,,,11/4/2024,,,,,,,,,,,,,Unknown,,FALSE,,,,,,,,,PVCU-RF,3.08,7/5/2025,,,,,,,,
32687,"SO#32687 Chevron #TBD - Alpharetta, GA - FMD16CSS3-GSW-C1_PVSPS42-U-CRCH-1.xlsx",Dualite,1 Dualite Lane,Williamsburg,OH,45176,11/6/2024,Dualite,1 Dualite Lane,Williamsburg,OH,45176,Chevron,,,,765 McFarland Pkwy,Alpharetta,GA,Georgia,30004,TRUE,12/17/2024,Dualite,0,SMD2,Same,CSS3 Cable digit - Short,Accessory,Other,PVCU-RF,3.08,12/17/2024,28,48,38,2.1,57.5,15.6,7.8,6
32688,"SO#32688 ARCO #080 - Rancho Cordova, CA - FMD8CTS3-GSW-C1_PVSPS82X62-UMP-CH-2.xlsx",SignResource,5930 Shull St.,Bell Gardens,CA,90201,11/7/2024,SignResource,5930 Shull St.,Bell Gardens,CA,90201,ARCO,,,80,10299 Folsom Blvd.,Rancho Cordova,CA,California,95670,FALSE,,,,,,,,,PVCU-RF,3.08,7/5/2025,75,95,85,5,78.3,0,9.7,9.2
32689,"SO#32689 Citgo #34666067 - Tampa, FL - FMD12SEP3-GSR-GSG-MP_PVSPSR82X62-UDT-1.xlsx",SignResource,242 Industrial Pkwy,Jacksboro,TN,37757,11/8/2024,SignResource,242 Industrial Pkwy,Jacksboro,TN,37757,Citgo,,,34666067,4602 N. Lois Ave,Tampa,FL,Florida,33614,FALSE,,,,,,,,,,,7/5/2025,80,100,90,5,60.7,0,11.9,10.2
32690,"SO#32690 Texaco Pit Stop - Lake City, FL - FMD12CSS3-GSW-C5_C2_PVSPS42-UD-1.xlsx","Dualite, Inc",One Dualite Lane,Williamsburg,OH,45176,11/8/2024,"Dualite, Inc",One Dualite Lane,Williamsburg,OH,45176,Texaco,Pit Stop,,,13749 US 441,Lake City,FL,Florida,32025,FALSE,,,,,,,,,,,7/5/2025,80,100,90,5,60.7,0,11.9,10.2
32691,"SO#32691 Chevron #209085 - Farmington, NM - FMD22CSS3-GSW-C1_C2_PVSPS42-UD-1.xlsx","Dualite, Inc",One Dualite Lane,Williamsburg,OH,45176,11/8/2024,"Dualite, Inc",One Dualite Lane,Williamsburg,OH,45176,Chevron,,,209085,2834 E. main St.,Farmington,NM,New Mexico,87402,FALSE,,,,,,,,,PVCU-POS-VFON,3.08,7/5/2025,70,90,80,5.5,62.6,0,5.6,8.7
32692,"SO#32692 Chevron #203581 - Bryce, UT - FMD16CCS3-W-C1-C2_PVSPS42-UD-1.xlsx",,,,,,11/8/2024,,,,,,,,,,,,,Unknown,,FALSE,,,,,,,,,PVCU-POS-VFON,3.08,7/5/2025,,,,,,,,
32693,"SO#32693 Chevron#TBD - Palm Bay, FL - 10CSS3-W-C1_C2_PVSPS42-UD-1.xlsx",Cummings,4255 Napier Field Rd.,Dothan,AL,36303,11/11/2024,Cummings,4255 Napier Field Rd.,Dothan,AL,36303,Chevron,,,,4750 Dixie Hwy NE.,Palm Bay,FL,Florida,32905,TRUE,2/20/2025,Cummings Signs,1,SMD2,Same,Lost equipment,Accessory,Cosmetic,PVCU-RF,3.08,2/20/2025,52,72,62,1.5,52.5,0,9.8,4.9
32694,"SO#32694 Texaco #TBD - Bonneau, SC - FMD22CSS3-GSW-C5_PVSPS21-U-1.xlsx","Dualite, Inc",One Dualite Lane,Williamsburg,OH,45176,11/13/2024,"Dualite, Inc",One Dualite Lane,Williamsburg,OH,45176,Texaco,,,,2227 Highway 17,Bonneau,SC,South Carolina,29431,FALSE,,,,,,,,,PVCU-RF,3.08,7/5/2025,70,90,80,3.4,70,0,12.2,11.2
